ASTM,Product_Form,Metal_Type,Grade,C_min,C_max,Mn_min,Mn_max,Si_min,Si_max,P_min,P_max,S_min,S_max,Cr_min,Cr_max,Ni_min,Ni_max,Mo_min,Mo_max,Cu_min,Cu_max,N_min,N_max,Ti_min,Ti_max,Nb_min,Nb_max,W_min,W_max,Al_min,Al_max,B_min,B_max,HB_min,HB_max,TS_min,TS_max,HRc_min,HRc_max
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F11,0.05,0.15,0.30,0.60,0.50,1.00,30,30,30,30,0.50,1.00,0.50,1.00,0.45,0.65,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F12,0.05,0.15,0.30,0.60,0.50,1.00,30,30,30,30,0.50,1.00,0.50,1.00,0.80,1.00,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F22,0.05,0.15,0.30,0.60,0.50,1.00,30,30,30,30,0.50,1.00,0.50,1.00,0.87,1.13,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F304,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,30,18.00,20.00,8.00,11.00,,,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F304L,0.00,0.03,0.00,2.00,0.00,1.00,0.00,45,0.00,30,18.00,20.00,8.00,12.00,,,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F304H,0.04,0.10,0.00,2.00,0.00,1.00,0.00,45,0.00,30,18.00,20.00,8.00,11.00,,,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F310,0.00,0.25,0.00,2.00,0.00,1.00,0.00,45,0.00,30,24.00,26.00,19.00,22.00,,,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F310H,0.04,0.10,0.00,2.00,0.00,1.00,0.00,45,0.00,30,24.00,26.00,19.00,22.00,,,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F316,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,30,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F316L,0.00,0.03,0.00,2.00,0.00,1.00,0.00,45,0.00,30,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F316H,0.04,0.10,0.00,2.00,0.00,1.00,0.00,45,0.00,30,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F316Ti,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,30,16.00,18.00,10.00,14.00,2.00,3.00,,,,,0.40,0.70,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F317,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,30,18.00,20.00,11.00,15.00,3.00,4.00,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F317L,0.00,0.03,0.00,2.00,0.00,1.00,0.00,45,0.00,30,18.00,20.00,11.00,15.00,3.00,4.00,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F904L,0.00,0.02,0.00,2.00,0.00,1.00,0.00,45,0.00,35,19.00,23.00,23.00,28.00,4.00,5.00,1.00,2.00,0.05,0.10,,,,,,,,,,,,,,,,
A193,Bolts / Studs / Threaded Rods,Alloy & Stainless Steel,B7,0.37,0.49,0.65,1.1,0.15,0.35,,0.035,,0.04,0.75,1.2,,,,0.15,0.25,,,,,,,,,,,,,,,,,,,
A193,Bolts / Studs / Threaded Rods,Alloy & Stainless Steel,B7M,0.37,0.49,0.65,1.1,0.15,0.35,,0.035,,0.04,0.75,1.2,,,,0.15,0.25,,,,,,,,,,,,,,,,,,,
A193,Bolts / Studs / Threaded Rods,Alloy & Stainless Steel,B16,0.36,0.47,0.45,0.7,0.15,0.35,,0.035,,0.04,0.8,1.15,,,,0.5,0.65,,,,,,,,,,,,,,0.015,,,,,
A193,Bolts / Studs / Threaded Rods,Alloy & Stainless Steel,B8,,0.08,,2,,1,,0.045,,0.03,18,20,8,11,,,,,,,,,,,,,,,,,,,,,,
A193,Bolts / Studs / Threaded Rods,Alloy & Stainless Steel,B8M,,0.08,,2,,1,,0.045,,0.03,16,18,10,14,2,3,,,,,,,,,,,,,,,,,,,,
A194,Nuts,Carbon & Alloy Steel,Grade 2H,0.4,,,1,,0.4,,0.04,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
A194,Nuts,Carbon & Alloy Steel,Grade 2HM,0.4,,,1,,0.4,,0.04,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
A194,Nuts,Carbon & Alloy Steel,Grade 7,0.37,0.49,0.65,1.1,0.15,0.35,,0.04,,0.05,0.75,1.2,,,,0.15,0.25,,,,,,,,,,,,,,,,,,,
A194,Nuts,Carbon & Alloy Steel,Grade 7M,0.37,0.49,0.65,1.1,0.15,0.35,,0.04,,0.05,0.75,1.2,,,,0.15,0.25,,,,,,,,,,,,,,,,,,,
A194,Nuts,Carbon & Alloy Steel,Grade 8,,0.08,,2,,1,,0.045,,0.03,18,20,8,11,,,,,,,,,,,,,,,,,,,,,,
A194,Nuts,Carbon & Alloy Steel,Grade 8M,,0.08,,2,,1,,0.045,,0.03,16,18,10,14,2,3,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,304,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,18.00,20.00,8.00,10.5,,,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,304L,0.00,0.03,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,18.00,20.00,8.00,12.00,,,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,304H,0.04,0.10,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,18.00,20.00,8.00,10.5,,,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,309S,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,22.00,24.00,12.00,15.00,,,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,310,0.00,0.25,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,24.00,26.00,19.00,22.00,,,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,310S,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,24.00,26.00,19.00,22.00,,,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,316,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,316L,0.00,0.03,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,316H,0.04,0.10,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,317,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,18.00,20.00,11.00,15.00,3.00,4.00,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,317L,0.00,0.03,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,18.00,20.00,11.00,15.00,3.00,4.00,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,904L,0.00,0.02,0.00,2.00,0.00,1.00,0.00,45,0.00,0.035,19.00,23.00,23.00,28.00,4.00,5.00,1.00,2.00,0.05,0.10,,,,,,,,,,,,,,,,
A276,Bars & Shapes,Stainless Steel,SS304,,0.08,,2.00,,1.00,,45,,0.03,18.00,20.00,8.00,11.00,,,,,,,,,,,,,,,,,,,,,,
A276,Bars & Shapes,Stainless Steel,304L,,0.035,,2.00,,1.00,,45,,0.03,18.00,20.00,8.00,13.00,,,,,,,,,,,,,,,,,,,,,,
A276,Bars & Shapes,Stainless Steel,304H,0.04,0.10,,2.00,,1.00,,45,,0.03,18.00,20.00,8.00,11.00,,,,,,,,,,,,,,,,,,,,,,
A276,Bars & Shapes,Stainless Steel,SS316,,0.08,,2.00,,1.00,,45,,0.03,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A276,Bars & Shapes,Stainless Steel,316L,,0.035,,2.00,,1.00,,45,,0.03,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A276,Bars & Shapes,Stainless Steel,316H,0.04,0.10,,2.00,,1.00,,45,,0.03,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A276,Bars & Shapes,Stainless Steel,904L,,0.02,,2.00,,1.00,,40,,0.03,19.00,23.00,23.00,28.00,4.00,5.00,1.00,2.00,,0.25,,,,,,,,,,,,,,,,
A276,Bars & Shapes,Stainless Steel,2205,,0.03,,2.00,,1.00,,30,,0.02,21.00,23.00,4.50,6.50,2.50,3.50,,,,0.14,0.20,,,,,,,,,,,,,,,
A276,Bars & Shapes,Stainless Steel,2507,,0.03,,1.20,,0.80,,35,,0.02,24.00,26.00,6.00,8.00,3.00,5.00,,,,0.24,0.32,,,,,,,,,,,,,,,
A276,Bars & Shapes,Stainless Steel,17-4PH,,0.07,,1.00,,1.00,,40,,0.03,15.00,17.50,3.00,5.00,0.15,0.45,,,,,,3.00,5.00,,,,,,,,,,,,,
A283,Plate,Carbon Steel,Grade C,0.00,0.24,0.00,0.90,0.00,0.40,0.00,35,0.00,0.04,,,,,,0.20,0.20,,,,,,,,,,,,,,,,38,52,,
A285,Plate,Carbon Steel,Grade C,0.00,0.28,0.00,0.90,,,0.00,35,0.00,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,
A29,Bars,Carbon & Alloy Steel,4140,0.38,0.43,0.75,1.00,0.15,0.35,0.00,35,0.00,0.04,,0.80,1.10,,0.15,0.25,,,,,,,,,,,,,,,,,,,,
A29,Bars,Carbon & Alloy Steel,4340,0.38,0.43,0.60,0.80,0.15,0.35,0.00,35,0.00,0.04,,0.70,0.90,1.65,2.00,0.20,0.30,,,,,,,,,,,,,,,,,,,
A312,Pipe (Seamless / Welded),Austenitic Stainless Steel,TP304,,0.08,,2.00,,1.00,,45,,0.03,18.00,20.00,8.00,11.00,,,,,,,,,,,,,,,,,,,,,,
A312,Pipe (Seamless / Welded),Austenitic Stainless Steel,TP304L,,0.035,,2.00,,1.00,,45,,0.03,18.00,20.00,8.00,13.00,,,,,,,,,,,,,,,,,,,,,,
A312,Pipe (Seamless / Welded),Austenitic Stainless Steel,TP316,,0.08,,2.00,,1.00,,45,,0.03,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A312,Pipe (Seamless / Welded),Austenitic Stainless Steel,TP316L,,0.035,,2.00,,1.00,,45,,0.03,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A312,Pipe (Seamless / Welded),Austenitic Stainless Steel,S31254,,0.20,,1.00,,0.80,,30,,0.01,19.50,20.50,17.50,18.50,6.00,6.50,0.18,0.22,,,,0.50-1.00,,,,,,,,,,,,,,
A312,Pipe (Seamless / Welded),Austenitic Stainless Steel,N08904,,0.20,,2.00,,1.00,,40,,0.03,19.00,23.00,23.00,28.00,4.00,5.00,0.10,,,,1.00-2.00,,,,,,,,,,,,,,,
A333,Pipe (Seamless / Welded),Carbon & Alloy Steel,Grade 1,,0.3,0.4,1.06,,,,0.025,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,
A333,Pipe (Seamless / Welded),Carbon & Alloy Steel,Grade 3,,0.19,0.31,0.64,0.18,0.37,,0.025,,0.025,,,,3.18,3.82,,,,,,,,,,,,,,,,,,,,,
A333,Pipe (Seamless / Welded),Carbon & Alloy Steel,Grade 6,,0.3,0.29,1.06,0.1,,,0.025,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,
A333,Pipe (Seamless / Welded),Carbon & Alloy Steel,Grade 7,,0.19,,0.9,0.13,0.32,,0.025,,0.025,,,,2.03,2.57,,,,,,,,,,,,,,,,,,,,,
A333,Pipe (Seamless / Welded),Carbon & Alloy Steel,Grade 8,,0.13,,0.9,0.13,0.32,,0.025,,0.025,,,,8.4,9.6,,,,,,,,,,,,,,,,,,,,,
A333,Pipe (Seamless / Welded),Carbon & Alloy Steel,Grade 9,,0.2,0.4,1.06,,,,0.025,,0.025,,,,1.6,2.24,,,,0.75,1.25,,,,,,,,,,,,,,,,
A333,Pipe (Seamless / Welded),Carbon & Alloy Steel,Grade 10,,0.2,1.15,1.5,0.1,0.35,,0.035,,0.015,,0.15,,0.25,,0.15,,0.15,,,,,,,,,,0.05,,,,,,,,
A333,Pipe (Seamless / Welded),Carbon & Alloy Steel,Grade 11,,0.1,,0.6,,0.35,,0.025,,0.025,,,,35,37,,,,,,,,,,,,,,,,,,,,,
A335,Pipe (Seamless),Ferritic Alloy Steel,P1,0.10,0.20,0.30,0.80,0.00,0.50,0.00,25,0.00,25,0.00,0.00,,,0.44,0.65,,,,,,,,,,,,,,,,,,,,
A335,Pipe (Seamless),Ferritic Alloy Steel,P11,0.05,0.17,0.30,0.60,0.00,0.50,0.00,25,0.00,25,1.00,1.50,,,0.44,0.65,,,,,,,,,,,,,,,,,,,,
A335,Pipe (Seamless),Ferritic Alloy Steel,P22,0.05,0.15,0.30,0.60,0.00,0.50,0.00,25,0.00,25,1.90,2.60,,,0.87,1.13,,,,,,,,,,,,,,,,,,,,
A335,Pipe (Seamless),Ferritic Alloy Steel,P91,0.08,0.12,0.30,0.60,0.20,0.50,0.00,20,0.00,10,8.00,9.50,0.00,0.40,0.85,01.05,0.18,0.25,,,,0.06,0.10,0.18,0.25,,,,,,,,,,,
A351,Casting (Valves / Pumps / Pressure parts),Austenitic & Duplex Stainless Steel,CF3,0.00,0.03,1.00,2.00,0.00,1.50,0.00,40,0.00,30,18.00,21.00,8.00,11.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A351,Casting (Valves / Pumps / Pressure parts),Austenitic & Duplex Stainless Steel,CF3A,0.00,0.03,1.00,2.00,0.00,1.50,0.00,40,0.00,30,18.00,21.00,8.00,11.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A351,Casting (Valves / Pumps / Pressure parts),Austenitic & Duplex Stainless Steel,CF3M,0.00,0.03,1.00,2.00,0.00,1.50,0.00,40,0.00,30,18.00,21.00,9.00,12.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
